Job titel,Job description,Company,Employees,Field,Type of work,Level,Remote
Finance Product Data Analyst,"As a financial institution moving billions of customer money in more than 70 countries, Wise must have bulletproof financials. We need timely, accurate and scalable financial data to be compliant with regulations and make smart business decisions..

We are looking for a Product Analyst to join the Product Onboarding team in Finance. Together with the Accounting team and Regional Controllers you will own the process of understanding products and work with finance engineers to implement the product into a finance engine. This is a core function of the Finance team that ensures recording of accurate, timely and reliable financials for Wise.

This role gives a great opportunity to combine business analyst skills with technical data processing skills . You will get familiar with all key products of Wise, understand the business and also improve your data analysis expertise.

Your day-to-day:
Working with various stakeholders - Product Managers, finance sub-teams (BI, reporting, tax etc.. ) to understand the various products supported in Wise and future expansions, assist in documentation, communication and launch of new products
Hands on data maintenance/management – data analysis, data cleanup, automations
Communicate technical subjects clearly to a range of non-technical stakeholders
Work on continuous improvement of finance engine in collaboration with engineers to improve scalability and timeliness of finance engine

This role will give you the opportunity to:
Make an impact – you will have an opportunity to build, own and grow parts of the financial engine of one of the fastest-growing fintech companies in Europe
Own your path to success – you’ll have a high level of autonomy and responsibility
Expand your skills and develop for the future – build an efficient engineering solutions, data analysis, financial/regulatory knowledge providing unique opportunities for professional growth analytical data pipelines, reporting and outputs
Gain more experience that will allow you to grow with Finance as well as the wider Wise team
Work in an international Finance Team and learn a lot about Finance, financial technology and driving financial sustainability of a fast growing company

A bit about you:
Strong SQL experience building complex analytical queries, reports and data models. Being familiar with Python as well as visualisation tools (Looker, Tableau etc.) would be an advantage, but not a necessity.
Worked with large (financial) systems, supporting their growth and working with the provided data.
Have a strong analytical thought process - who can build automated solutions to control and reconcile finance data.
Detail oriented, great at working autonomously and meeting deadlines.
Have an ability to go beyond the numbers and understand the business meaning .
Willing to deal with internal or external stakeholders (auditor or regulators), communicating reports, definitions, requirements etc.

Bonus points for:
Worked with PostgreSQL, Snowflake, Airflow
Have knowledge of BI tools (e.g. Looker, Periscope, or Metabase) and/or visualisation tools (e.g. PowerBI or Tableau)
Experience in start-ups and/or agile, dynamic work environments
Experience in financial reporting and comfortable with accounting principles.
You can understand finance terminology or have strong commitment to learn finance business domain, in particular, knowledge of basic accounting
You have prior business analyst experience - requirement gathering, documentation, building test cases & post golive support

A bit about Wise:

Since 2011, we’ve had a clear mission: money without borders. Built by and for people who live global lives, we’re the fairest, easiest way to manage your money across borders.

We’re just at the beginning of our story and we’re growing at an incredible pace. We won’t stop until anyone, anywhere can send, spend and receive money wherever they are, whatever they’re doing. There’s still heaps to do and we can’t do it alone.

Our People:

At Wise, you’ll be joining a movement of people who believe in a better, fairer, more transparent way of moving money around the world. You’ll collaborate to do your best work and take on problems that no one has looked at before.

If you’re keen to learn, grow, try new things and aren’t afraid of a bold plan, you’ll fit right in.
",Wise,"1,001-5,000",Financial Services,Full-time,Entry level,-
Data Governance Analyst in Data Governance team in SEB Baltics,"SEB is a leading northern European financial services group, and at the same time, one of the largest IT employers in the Nordics. Banking is changing rapidly, and we are proud of our reputation for being entrepreneurial and innovative in the face of change. Are you a technology and data expert with business related data management mindset? Today we are looking for a Data Governance Analyst ready to accept new challenges in SEB Baltics, Product & Technology Development, Tallinn.

What You Will Be Doing

You will be part of Data Governance team in Finance and Risk tribecreating tools, data policies and rules to help Baltic cross-functional teams to establish a common understanding of data in Product development organization.

As a Data Governance Analyst, you will be responsible for

Leading implementation of a meta data management solution in all three Baltic countries
Data Governance process implementation, workflow management, automations, and custom integrations
Support solution architecture, connect functional requirements to technical architecture
Communicate solution functionality and features to Baltic stakeholders
Supervise and give advises to Data Stewards
Understanding of general directions in the relevant technologies, new ideas, best practices, and developments.

Our main technical stack consists of

Collibra, Oracle, SIQ DB
GIT / Bitbucket
JIRA
Who we are looking for

Experience designing or leading systems implementation and manipulating code or setting up systems at least for 2 years and having a solid understanding of technology and software development
A specific expertise with Data Management solution implementation would be an advantage
Proficiency in oral and written English
Experience in banking sector would be an advantage.
What we offer

Entrepreneurial Scandinavian environment
Extensive training and learning opportunities
Work-life balance
Friendly and welcoming culture
International opportunities and working environment
Attractive compensation and benefits
Access to SEB staff banking with exclusive benefits
Long-term stability
Innovative company in forefront of technology
Challenging, cutting-edge work
Opportunities to help transform an industry
Mobility within a large global company
Chances to make an impact on social or environmental issues
Excellent office environment
Agile and modern ways of working
Empowering environment
Top class client network and projects
Deliver world-class service to customers.

Learn more about working at SEB here.

It is our fundamental belief that inclusion and diversity is crucial for our future success. We strive to have an inclusive, value-driven culture where employees feel valued, respected and involved irrespective of who they are, what they believe or where they come from.

Ready to join?

Since we select candidates continuously, feel free to send in your application today, but no later than 15th of January, 2023.

Welcome to a community of tech-savvy and passionate employees from all corners of the world. SEB is in fact one of the largest IT employers in the Nordics. Together we future proof a world of financial flows by exploring and implementing modern digital architecture and state-of-the-art technology. We are driven by collaboration, insight, and friendship. But also, a desire to change and improve. All in all, it creates a balance - where life and a stable yet exciting job can co-exist. If you want to shape tomorrow's bank - continue reading and apply today.",SEB Eesti,"1,001-5,000",Financial Services,Full-time,-,-
Data Analyst at Baltic Banking AML/Fraud Investigation,"Are you experienced data analyst with interest in applying your skills with hands-on and data driven approach to anti-financial crime related tasks?

In Swedbank You Have The Opportunity To
Provide analytical insights to anti-financial crime measures, participating in a range of activities from monitoring/screening tool development/fine-tuning to supporting with case investigations
Act as subject matter expert and co-ordinate on-going activities for improving quality, productivity and effectiveness of monitoring and screening system solutions
Work in cooperation with related departments in data, analytics and IT systems related projects
Extract, clean and wrangle large structured and unstructured data sets, exploring and mining them for insights, building analysis pipelines and automating the “boring stuff” in a collaborative environment
Support (data-driven) reviews and reporting on systems and operations
Translate data driven insights into actionable next steps and communicate these to an interdisciplinary audience in a coherent manner (both in writing and verbally)
What Is Needed In This Role
Computer science fundamentals
Interpersonal skills: Good communication and cooperation skills, creativity, helping others, knowledge sharing, pro-activeness
Data search and management (including database querying/SQL)
Good coding skills for data analysis and reproducible research (Python/R, SQL, Git)
You are analytical, structured and thorough, able to pay attention to details
Experience with Comparative analysis, Data visualization and Reporting
Experience with Data Warehousing and/or Data Lake systems
Understanding of the financial industry
Good communication skills in English, both written and spoken
At Swedbank we believe that people are our core strength. Our culture is built on respect, inclusion and openness. We support continuous development and enable you to take the lead in your career and find inspiring challenges. We take care of your wellbeing by providing a sustainable and flexible working environment. As an employee you will be part of the Group performance program, offered a company pension plan, optional health insurance, as well as other benefits. We are guided by our values: Open, Simple and Caring. It’s all about delivering a positive and unique experience for our customers through collaboration and team-work – together we make a difference.

""Join our team and...

you will be collaborating with anti-financial crime experts in a fast-paced interdisciplinary and international team to contribute into anti-money laundering, anti-fraud, countering terrorist financing and other anti-financial crime measures."" Līga Brutāne, your future leader

We look forward to your application at 30.12.2022. the latest.
",Swedbank,"10,001+",Financial Services,Full-time,-,-
Data Analyst,"Bolt is one of Europe’s leading technology companies, working to reshape the future of transportation. To date, we’re already helping over 100+ million people in more than 45+ countries move more conveniently, affordably and safely.

We are looking for a Data Analyst, CS Analytics to join our Customer Support organization at Bolt on our journey to discover and drive performance improvements all over CS division across all markets throughout Europe and Africa and work both with local and HQ teams to achieve our organizational goals.

Your daily adventures will include :
Proactively solving technical challenges and fixing bugs
Developing, documenting, and implementing policies, procedures, guidelines, and best practices to ensure data integrity and standardized end-user processes
Automate and optimize data collection, transformation, loading, analysis, presentation, visualization, and monitoring processes (Build, maintain and improve data pipelines using a wide range of technologies such as AWS Redshift, Airflow, etc).
Build and manage existing reporting infrastructure for CS.
Cross team collaboration and discussions
Address ad-hoc and project based data and reporting asks

What we are looking for :
A university degree in a technical subject (Computer science, Mathematics or similar)
2-3 years experience in SQL and Python. Knowledge of DAX, PowerBI, Looker, Google Sheets, Tableau or related technologies are a strong plus.
Experience in using Workflow Management Systems (e.g. Airflow, Azure Data Factory, Luigi, Chronos)
Experience with micro-service and distributed systems
Knowledge of data warehousing and data structures
Experience dealing with large volumes of data
Ability to quickly grasp complex business requests and translate them into technical solutions while providing clear explanations to non-technical users if needed
Self-starter with a result-oriented mindset, able to work in a fast-paced environment
Strong collaborator with excellent communication skills (both verbal and written)
Attention to detail, ability to quickly learn and apply new knowledge
Fluent in the English language.
Experience in building systems based on cloud service providers (AWS, Azure, Google Cloud).
Showcasing your Github portfolio",Bolt,"1,001-5,000",Computer Software,Full-time,Entry level,-
Growth Analyst,"As a Growth Analyst, you will be central to the operational side of Growth team, jumping on an amazing journey to get Bolt to the new heights! You will be working closely with other team members of Growth domain, as well as Expansion Managers, Marketing and Operation teams.

Own campaign spending decisions for your assigned markets and work with your team lead to optimise decisions to help the team reach their growth targets

Implement campaigns end to end and deliver regular operational activities with minimal guidance

Wrangle complex data-sets and work with your team lead to come up with new testing ideas for campaigns in your market. Own the testing roadmap from end to end: setting up A/B tests and analysing results with the tools we have available

Support the team with ad-hoc analysis and bring visibility by building dashboards

BSc in Mathematics, Economics, Computer Science, Information Management, Statistics or Business

Basic understanding of statistics and A/B testing

Experience dealing with large volumes of data. 1-2 years business experience ideal

Good SQL and Excel skills

Analytical mindset

Great written & verbal communication

Team player and hunger to learn",Bolt,"1,001-5,001",Computer Software,Full-time,Entry level,-
Business Data Analyst,"Job ID: 12551

Would you like to be a part of data quality control for Nordea Retail portfolios across Nordics?

We are looking for a Business Data Analyst to take the role as a data steward / analyst. You will work with data governance, data quality and improvement initiatives, user acceptance test in the credit space.

You’ll join an international team with professional colleagues and will collaborate closely with different stakeholders across Nordea. The position is based in Estonia, Tallinn.

About This Opportunity

What you will be doing:
supporting data profiling and implementation of the data definitions and data quality rules,
analysing data quality and verifying suggested data quality improvements,
investigating data quality issues in a number of banking systems,
testing new data flows from data quality perspective,
supporting prioritization of data quality issues,
driving further analysis of root causes,
driving remediation planning of data quality issues,
setting/agreeing KPIs & monitor quality of data.

Who You Are

Collaboration. Ownership. Passion. Courage. These are the values that guide us in being at our best – and that we imagine you share with us.

This role requires persons that enjoy working with data and collaborate with people in understanding how information / data supports our business.

To succeed in this role, we believe that you have:
3 years experience in the banking/credit domain,
2-3 years of experience in data analytical skills,
using data as a basis for conclusions,
proficient in SQL,
proficient in English,
Bachelor's/Master's Degree preferred in Computer Science/ Business Administration.

To our employees we also offer benefits like co-financed sport benefit, additional health insurance, social and team events, additional winter holiday, free access to Udemy courses for your further competence and career development.

If this sounds like you, get in touch!

Next steps

Submit your application no later than 20/01/2023. For more information, you’re welcome to contact Sergejs Babuskins, Sergejs.Babuskins2@nordea.com.

At Nordea, we know that an inclusive workplace is a sustainable workplace. We deeply believe that our diverse backgrounds, experiences, characteristics and traits make us better at serving customers and communities. So please come as you are.

Please be aware that any applications or CVs coming through email or direct messages will not be accepted or considered.",Nordea,"10,001+",Banking,Full-time,Mid-Senior level,-
Data Analyst in Financial Crime Prevention,"Job ID: 13892

Come and join the dynamic fight against international financial crime using the latest technologies and processes in a leading financial institution!

Due to the continued success of the Data team within FCIIA, we are looking for a data analyst to expand the team.

Joining the Data Team, will provide you with multitude opportunities to expand your capabilities across a full spectrum of data related activities:
Utilise modern data management tools and techniques to assist in the maintenance and expansion of a robust Hadoop data foundation, used to facilitate FinCrime investigations.
Provide key input into the design and implementation of data augmentation processes that join complex data sources.
Be part of the team building next generation data monitoring capabilities, and Analyse complex data sources to provide informed and evidenced answers to evolving Financial Crime questions.

Key to our success is the gift of having an enjoyable working environment with intellectual, driven colleagues, who are keen to solve issues and continually improve the data landscape.

At Nordea, we’re committed to being a partner our customers and society can count on. Compliance and integrity go hand in hand. Joining us means you’ll have an impact on how we do banking – today and tomorrow. So bring your ideas, skills and unique background. With us, you’ll be in good company with plenty of opportunities to collaborate, grow and make your mark on something bigger.

About This Opportunity

This is a role within the Financial Crime Investigation, Intelligence & Analytics (FCIIA) unit in Group Financial Crime Prevention (GFCP).

What you’ll be doing:
Analysing Hadoop to validate data sources have been ingested as per specification.
Identifying complex undocumented relationships across disparate data sources.
Driving the build-out of complex data solutions to facilitate harmonised and simplified data consumption by our down-stream products.
Integrating with large-scale change programmes to understand and control impact, acquire and implement benefits and improve data quality.
Producing standardised data focussed requirements to be implemented by our IT partners.
Documenting data standards, including definitions, business rules and data quality controls.
Analysing complex data sources to provide informed and evidenced answers to evolving Financial Crime questions.
Drinking coffee – (not strictly essential, tea and water are both acceptable alternatives).
Supporting IT architects and projects in mapping of technical tables and fields to data asset-specific data standards.
Measuring compliance with the data standards and defined data quality targets.
Liaising with Data Owners, architects and analysts across GFCP and the wider bank to strengthen and continually enhance our data offering.

FCIIA is responsible for the management of cross jurisdictional special investigations and coordination of both operational and strategic intelligence development. We currently have opportunities for curious, driven Data Analysts who are comfortable working on their own or as part of a small team to support the FCIIA Data Asset Owner enhance and govern a multi-layered data landscape.

Our key focus is building and maintaining Advanced Financial Crime capabilities and solutions. We endeavour to continually make improvements to ensure on-going compliance with regulatory requirements and deliver solutions and services that help proactively prevent financial crime.

You are a person who understands data. You can analyse it to answer queries, but also understand where potential limitations exist and can creatively resolve them in either a tactical or strategic manner. The role will allow you to work across several key business units and will offer great opportunities for the right candidate. The position is likely to require some travel to other Nordea international sites. The role is available in one of our offices: in Tallinn, Oslo, Copenhagen, Stockholm or Helsinki.

Who You Are

Collaboration. Ownership. Passion. Courage. These are the values that guide us in being at our best – and that we imagine you share with us.

To build a successful career with us, you’ll work well with others and always act with the stakeholders’ needs in mind. You love learning and trying new things, and you’re excited about bringing your ideas to the table. You’re honest and dependable, willing to speak up even when it’s difficult, and committed to empowering others. You’re passionate about doing a great job.

You have a passion for data and quantitative analysis, you are able to access databases and write your own scripts, and to perform all kinds of data analysis.

Your experience and background:
At least intermediate level experience using tools and languages such as Excel, SQL, Hadoop, VBA, R and Python.
Academic degree in highly quantitative discipline or specialisation such as Computer Science Physics, Mathematics, Engineering or Finance.
Excellent English. You will be expected to freely communicate with and present to colleagues and managers at various levels of seniority.
Good interpersonal and stakeholder management skills. You enjoy collaboration in a diverse and multicultural environment.
You are proactive and bring a strong sense of ownership for your tasks and responsibilities.
You can be relied upon to complete work assigned to you in a timely manner.
You understand the principles of working with an Agile development approach.
You are excited to share ideas and findings with your team.

Your application will benefit from demonstrating experience in the below:
Financial crime prevention.
Financial industry expertise.
Experience in working in large scale change programmes.
Experience using relational databases e.g. Oracle, SQL Server.

If it sounds like you, get in touch!

Next steps

Submit your application no later than 21/01/2023. For more information, you’re welcome to contact Simon Warthoe.

At Nordea, we know that an inclusive workplace is a sustainable workplace. We deeply believe that our diverse backgrounds, experiences, characteristics and traits make us better at serving customers and communities. So please come as you are.

Please be aware that any applications or CVs coming through email or direct messages will not be accepted or considered.

#CVK",Nordea,"10,001+",Banking,Full-time,Mid-Senior level,-
Data Analysis Intern (Remote Internship - Analyst),"POSITION: Data Analyst Intern

LOCATION: Remote

SCHEDULE: Part-time (10-20h/week)

About Brainnest:

The business management and training company headquartered in Bremen, Germany. We are a success-driven firm that provides management advisory and contracting services customized to help companies from different industries with business management problems. Brainnest runs, leads, and manages complex projects and initiatives. We have begun from scratch when a network of professionals, Ph.D. holders, and highly skilled personnel bring to the business table their practical and academic years of experience to form up a concrete blueprint on which the company has been designed. Since 2020, we offer a combination of expertise, proficiency, and commitment, leveraging our deep industry experience and applying analytical rigor to deliver exceptional results for companies. We proudly provide top-class consulting and training services for a wide range of industries around the world. A well-equipped team, advanced tools, and modern methodologies are some of what we correctly utilize to offer our clients what makes them the best in their fields.

Our team is looking for a Data Analysis Intern to join them in the upcoming weeks. This position is great for an aspiring data analysis professional looking to work on business-critical projects and gain relevant work experience.

Your profile:

Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience
A well-organized team player with the ability to perform various tasks, act individually, and think creatively
Familiarity with Microsoft applications and Zoom
Willingness to learn and develop data analysis skills
Competitive and proactive attitude
Fluency in English

You will learn how to:

Get started with business analytics, including accessing and integrating the right data and constructing a data map
Prepare data, explore it visually, and describe it using statistical methods
Think and talk like an analyst
How to collaborate with others in different roles to get the data you need
Turn information into a work of art and intrigue your audience
Use a powerful set of business analytics tools to create and share visualizations with others in the organization
Make smarter, data-driven decisions
Interpret the data you see, find the data you need, and clean the data to work effectively with the data
Work with data, including how to import data, work with flat files such as CSV, and create data sets for others
Use predictive tools in business analytics that can help companies make better decisions
Use business analytics tools and techniques to leverage sales data and help organizations get more leads, close more deals, and ultimately increase the number of customers

At Brainnest, we’re committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We strive to be a more equal opportunity workplace.",Brainnest,51-200,Business Consulting and Services,Full-time,Internship,Remote
"Senior Data Analyst, Operational Excellence","We are looking for a Senior Operational excellence Analyst, to join Bolt Food’s Central Operations team on our journey to discover and drive performance improvements all over our markets throughout Europe and Africa and work both with local and HQ teams to achieve our food & grocery delivery goals.

The Central Operations team consists of individuals from all over the world who are closely working together on building the foundations for us to scale our operation globally across the following functions: Sales Operations, Account Management, Partner Operations, Strategic Partnerships and Courier Operations.

You will be helping us build Bolt Food by supporting one or more of these areas in a very dynamic environment. We expect you to be a genuine and proactive team player as you will need to embrace ambiguity at a global scale and approach business challenges in a data-driven and structured manner. It is key to have great attention to detail and the ability to manage multiple projects and stakeholders at once, with strong prioritization skills.


Your daily adventure will include :

Data Analysis. Deep-dive into the data to find insights that drive the strategy and implementation of new projects across markets.
Data Management. Automate and optimise data collection, transformation, loading, analysis, presentation, visualisation, and monitoring processes (build, maintain and improve data pipelines using a wide range of technologies such as AWS Redshift, Airflow, etc).
Project Management. You will work closely with other global teams in order to resolve the most challenging issues in either our partners, couriers or sales operations.
Automations. You will automate workflows and find ways to use code/algorithms to make the operation of local teams more efficient and data-driven.
Review key operational metrics. Availability rate, rejected orders, cooking time, average ratings, delayed orders - these and other metrics define success of our marketplace business. You will be looking for ways to improve them at a global level.
Reporting & Dashboards. Build and maintain reports and dashboards that support key activities and decision making throughout the central organization.

What we are looking for :

Bachelor’s degree in Mathematics, Economics, Computer Science, Information Management, Statistics or related field.
At least 3 years of experience in an analytical role dealing with large volumes of data. Experience in consulting, data analysis, business intelligence, and/or implementing data-driven solutions is a plus.
Amazing Excel, SQL and Python skills.
Experience with some BI tools and data visualisation like Tableau, Power BI or Looker.
Excellent communication & written skills in English.",Bolt,"1,001-5,001",Computer Software,Full-time,Mid-Senior level,-
"Data Scientist, Tools & Workflows","We are building a top European data science team focused on urban mobility and are looking for exceptional people to join our team. You will enjoy an opportunity to use your creativity in algorithm design and apply cutting-edge technologies to develop models, automate and optimize data-driven decisions and enable the entire organization to tap into the value of ML technologies. We partner with people from strong technology companies and computer science institutes.

You’ll be working in the Tools & Workflows (T&W) team which is responsible for optimizing different workflows inside Bolt. Whether helping our Customer Support team handle incoming user requests more efficiently or enabling our mapping specialists to improve our routes and maps, the T&W team has the right tools for the job. The ML projects inside the T&W team range from customer ticket classification and reply automation to workload forecasting and service level optimisation. The challenges of our team include working with 30+ languages (with many low-resource languages) and optimizing work of multi-queue systems with different priorities.

Your daily adventures will include:
Working with a technical stack consisting of Python, Docker, SageMaker, Airflow, Spark, Presto, Databricks
Solving real world problems using time series forecasting methods, deep learning & transformers, mathematical optimisation, gradient boosted trees, and more
Translating business problems to technical specifications
Handling the entire lifecycle from exploratory queries and notebook prototypes to a working machine learning model or other automation that might be serving thousands of calls per second in production
Leveraging our in-house data and model platform that allow you to launch new projects in a matter of days
Working in product feature teams together with data analysts, product managers and software engineers
Discussing the problems and technical innovations within the broader data science team that provides a pool of peers and mentors
Deploy and validate solutions for millions of users, enabling fast feedback and measurable added value to customers

We are looking for:
Industry experience in data science and machine learning (3+ years recommended)
Awareness of both business and technical aspects of data science
Experience in Python programming, including libraries like pandas/numpy/huggingface/sklearn
Industry experience with natural language processing
Experience writing complex SQL queries
Understanding and practical experience with statistical hypothesis testing
Proactive mindset, willingness to take initiative, and work with little supervision
Enthusiasm to collaborate with different roles in product, analytics and engineering to identify problems, explore trends and untap growth opportunities.
Strong verbal and writter communication skills in English
Track record of deploying models to production and measuring the impact

You will get extra credits for:
Product development experience in a technology company
Experience with transformers in production
Experience with queuing systems
Familiarity with any cloud systems (AWS, Azure, Google app engine)
Ph.D in a quantitative field",Bolt,"1,001-5,001",Computer Software,Full-time,Entry level,-
